source_file,raw_value,raw_lots,raw_source,raw_country_code,normalized_value,match_status,match_confidence,target_origin_id,target_country_code,target_region,target_appellation,target_record_level,match_reason
regions.csv,Cafayate,0,,AR,cafayate,normalized_exact,1,AR-ORI-CAFAYATE,AR,Salta,Cafayate,appellation,"Accent, punctuation, whitespace and legal suffixes normalized."
regions.csv,Luján de Cuyo,0,,AR,lujan de cuyo,normalized_exact,1,AR-ORI-LUJAN-DE-CUYO,AR,Mendoza,Luján de Cuyo,appellation,"Accent, punctuation, whitespace and legal suffixes normalized."
regions.csv,Mendoza,0,,AR,mendoza,normalized_exact,1,AR-ORI-MENDOZA,AR,Mendoza,Mendoza,appellation,"Accent, punctuation, whitespace and legal suffixes normalized."
regions.csv,Patagonia,0,,AR,patagonia,normalized_exact,1,AR-ORI-PATAGONIA,AR,Patagonia,Patagonia,appellation,"Accent, punctuation, whitespace and legal suffixes normalized."
regions.csv,Salta,0,,AR,salta,normalized_exact,1,AR-ORI-SALTA,AR,Salta,Salta,appellation,"Accent, punctuation, whitespace and legal suffixes normalized."
regions.csv,Uco Valley,0,,AR,uco valley,normalized_alias,0.99,AR-ORI-VALLE-DE-UCO,AR,Mendoza,Valle de Uco,appellation,Curated alias normalized to canonical value.
regions.csv,Burgenland,0,,AT,burgenland,normalized_exact,1,AT-ORI-BURGENLAND,AT,Burgenland,Burgenland,appellation,"Accent, punctuation, whitespace and legal suffixes normalized."
regions.csv,Carnuntum,0,,AT,carnuntum,normalized_exact,1,AT-ORI-CARNUNTUM,AT,Niederösterreich,Carnuntum,appellation,"Accent, punctuation, whitespace and legal suffixes normalized."
regions.csv,Eisenberg,0,,AT,eisenberg,normalized_exact,1,AT-ORI-EISENBERG,AT,Burgenland,Eisenberg,appellation,"Accent, punctuation, whitespace and legal suffixes normalized."
regions.csv,Kamptal,0,,AT,kamptal,normalized_exact,1,AT-ORI-KAMPTAL,AT,Niederösterreich,Kamptal,appellation,"Accent, punctuation, whitespace and legal suffixes normalized."
