1;Pinot Noir;MO Bündner Herrschaft;Gantenbein;2005;10;7.5;false;1100;1500;1000
2;Pinot Noir;MO Bündner Herrschaft;Gantenbein;2009;6;7.5;false;660;900;600
3;Pinot Noir;MO Bündner Herrschaft;Gantenbein;2012;1;15;true;180;250;180
4;Castello Luigi Rosso;MO Ticino;Luigi Zanini;2005;6;7.5;true;540;720;540
5;Castello Luigi Rosso;MO Ticino;Luigi Zanini;2005;1;15;true;220;300;230
6;Castello Luigi Rosso;MO Ticino;Luigi Zanini;2007;6;7.5;true;600;900;650
7;Merlot Vinattieri;MO Tessin;Luigi Zanini;2005;6;7.5;false;420;600;480
8;Meursault;AC/MO Côte de Beaune;Domaine Arnaud Ente;2010;1;15;true;450;650;500
9;Meursault;AC/MO Côte de Beaune;Domaine J.F. Coche Dury;2012;3;7.5;false;1050;1350;1200
10;Meursault Les Genevrières;AC/MO Côte de Beaune;Domaine J.F. Coche Dury;2012;3;7.5;false;2550;3300;2800
11;Puligny-Montrachet Les Enseignères;AC/MO Côte de Beaune;Domaine J.F. Coche Dury;2012;3;7.5;false;1350;1650;1500
12;Corton-Charlemagne blanc;AC/MO Côte de Beaune;Bonneau du Martray;2005;9;7.5;false;990;1350;1050
13;Corton-Bressandes;AC/MO Côte de Beaune;Domaine Antonin Guyon;2005;6;7.5;false;360;480;300
14;Volnay Santenots-du-Milieu;AC/MO Côte de Beaune;Domaines Comtes Lafon;2005;6;7.5;false;540;720;540
15;Corton-Rognet;AC/MO Côte de Beaune;Domaine Taupenot-Merme;2005;2;7.5;false;240;360;0
16;Corton-Rognet;AC/MO Côte de Beaune;Domaine Taupenot-Merme;2008;6;7.5;false;360;480;280
17;Morey-Saint Denis La Riotte;AC/MO Côte de Beaune;Domaine Taupenot-Merme;2005;6;7.5;false;270;360;210
18;Morey-Saint Denis La Riotte;AC/MO Côte de Beaune;Domaine Taupenot-Merme;2009;12;7.5;false;480;720;480
19;Chambertin;AC/MO Côte de Nuits;Armand Rousseau;2009;1;15;false;3000;4000;5100
20;Musigny;AC/MO Côte de Nuits;Domaine de la Vougeraie;2012;3;7.5;true;1350;1800;1500
21;Charmes-Chambertin Les Mazoyères;AC/MO Côte de Nuits;Domaine de la Vougeraie;2010;1;30;true;500;800;600
22;Gevrey-Chambertin Bel-Air;AC/MO Côte de Nuits;Domaine Taupenot-Merme;2009;4;7.5;false;220;280;0
23;Charmes-Chambertin;AC/MO Côte de Nuits;Domaine Taupenot-Merme;2009;2;7.5;false;160;220;160
24;Mazoyères-Chambertin;AC/MO Côte de Nuits;Domaine Taupenot-Merme;2009;4;7.5;false;320;440;380
25;Chambolle Musigny La Combe d'Orveau;AC/MO Côte de Nuits;Domaine Taupenot-Merme;2009;8;7.5;false;480;640;440
26;Vosne-Romanée Les Beaux-Monts;AC/MO Côte de Nuits;Domaine Jean Grivot;2005;6;7.5;false;1080;1500;1150
27;Richebourg;AC/MO Côte de Nuits;Domaine Jean Grivot;2005;2;7.5;false;1600;2400;1900
28;Échezeaux;AC/MO Côte de Nuits;Domaine Jean Grivot;2005;6;7.5;false;1200;1800;1300
29;Gevrey-Chambertin Lavaux Saint-Jaques;AC/MO Côte de Nuits;Domaine déric Esmonin;2005;6;7.5;false;480;720;490
30;Mazy-Chambertin;AC/MO Côte de Nuits;Domaine déric Esmonin;2005;3;7.5;false;330;450;360
31;Ruchottes-Chambertin;AC/MO Côte de Nuits;Domaine déric Esmonin;2005;3;7.5;false;390;540;420
32;Chabolle Musigny Les Amoureuses;AC/MO Côte de Nuits;Domaine Georges Roumier;2010;2;7.5;false;2000;3000;2850
33;Mazis-Chambertin;AC/MO Côte de Nuits;Olivier Bernstein;2012;1;15;true;600;800;620
34;Château Haut-Condissas;AC/MC Médoc;2009;6;7.5;true;150;240;135
35;Château Sociando Mallet;AC/MC Haut Médoc;null;2005;6;7.5;true;360;480;300
36;Château Cos d'Estournel;AC/MC St. Estèphe;null;1996;6;7.5;true;720;900;820
37;Château Calon Ségur;AC/MC St. Estèphe;null;2009;12;7.5;true;1020;1320;1100
38;Château Phelan Ségur;AC/MC St. Estèphe;null;2005;12;7.5;true;600;840;600
39;Château Phelan Ségur;AC/MC St. Estèphe;null;2009;6;7.5;true;240;330;210
40;Château Phelan Ségur;AC/MC St. Estèphe;null;2009;12;7.5;true;480;660;420
41;Château Grand Puy Lacoste;AC/MC Pauillac;null;2009;6;7.5;true;450;540;480
42;Château Lagrange;AC/MC St. Julien;null;2009;6;7.5;true;270;360;220
43;Château Lagrange;AC/MC St. Julien;null;2009;6;7.5;true;270;360;230
44;Château Langoa Barton;AC/MC St. Julien;null;2009;6;7.5;true;330;420;330
45;Château du Tertre;AC/MC Margaux;null;2005;6;7.5;true;360;480;300
46;Château Haut-Brion;AC/MC Pessac Léognan;null;2009;3;7.5;true;1950;2400;2000
47;Domaine de Chevalier rouge;AC/MC Pessac Léognan;null;2005;12;7.5;true;600;840;800
48;Château Haut Bailly;AC/MO Pessac Léognan;null;2005;6;7.5;true;480;600;610
49;Château Malartic-Lagravière rouge;AC/MC  Pessac-Leognan;null;1961;1;7.5;false;120;200;0
50;Château Malartic-Lagravière rouge;AC/MC  Pessac-Leognan;null;2005;12;7.5;true;960;1200;0
51;Château Cheval Blanc;AC/MC St. Emilion;null;1998;3;7.5;false;1500;1950;1500
52;Château Lafaurie Peyraguey;AC/MC Sauternes;null;2001;6;7.5;true;450;600;360
53;Châteauneuf du Pape Deus Ex Machina AOC/MO;null;null;2005;1;30;true;600;800;600
54;Barolo Vigneto Arborina;MO/DOCG Piemonte;Elio Altare;2001;3;7.5;true;255;330;250
55;Barolo La Serra;MO/DOCG Piemonte;Roberto Voerzio;1999;1;7.5;true;120;150;90
56;Barolo Brunate;MO/DOCG Piemonte;Roberto Voerzio;1999;1;7.5;true;150;200;110
57;Barolo riserva Gran Bussia;MO/DOCG Piemonte;Aldo Conterno;1990;2;7.5;true;540;800;0
58;Barolo riserva Monfortino;MO/DOCG Piemonte;Giacomo Conterno;1988;2;7.5;true;1000;1500;1100
59;Barolo bric del Fiasc;MO/DOCG Piemonte;Paolo Scavino;1990;1;15;true;450;600;0
60;Barolo riserva Roche dell Annunziata;MO/DOCG Piemonte;Paolo Scavino;1996;1;7.5;true;130;160;100
61;Barolo Percristina;MO/DOCG Piemonte;Domenico Clerico;1996;2;7.5;true;160;240;0
62;Cabernet Sauvignon Darmagi;MO/IGT, Piemonte;Angelo Gaja;1990;1;7.5;false;130;180;120
63;Barbaresco;MO/DOCG Piemonte;Angelo Gaja;1996;1;7.5;true;130;180;160
64;Barolo Sperrs;MO/DOCG Piemonte;Angelo Gaja;1990;1;7.5;true;180;220;220
65;Barolo Le Vigne;MO/DOCG Piemonte;Luciano Sandrone;1996;2;7.5;true;260;360;0
66;Amarone della Valpolicella;MO/DOCG Veneto;Allegrini;1997;1;15;true;120;150;0
67;Amarone Monte Lodoletta;MO/DOCG Veneto;Romano Dal Forno;2001;3;7.5;true;900;1200;780
68;Recioto Monte Lodoletta;MO/DOCG Veneto;Romano Dal Forno;1988;1;3.75;true;120;200;100
69;Solaia;MO/IGT Toscana;Piero Antinori;1997;3;7.5;false;600;900;650
70;Sassicaia;MO/DOC Bolgheri;Tenuta San Guido;1997;3;7.5;true;600;900;610
71;Sassicaia;MO/DOC Bolgheri;Tenuta San Guido;2006;6;7.5;true;900;1200;1000
72;Sassicaia;MO/DOC Bolgheri;Tenuta San Guido;2006;6;7.5;true;900;1200;1000
73;Masseto;MO/DOC Bolgheri;Tenuta dell’Ornellaia;2001;1;7.5;true;750;900;820
74;Il Caberlot;MO/IGT Toscana;Il Carnasciale;2007;1;15;true;220;300;200
75;Magnacosta;AC/IGT Toscana;null;2012;3;7.5;false;210;270;210
76;Palazzi;AC/IGT Toscana;null;2012;3;7.5;false;360;480;340
77;Trinoro;AC/IGT Toscana;null;2012;3;7.5;false;360;480;340
78;Termanthia;MO/DO Toro;Bodegas Numanthia Thermes;2004;6;7.5;true;900;1200;0
79;Bâtonnage;AC/MO Burgenland;Wild Boys of Bâtonnage;2011;1;15;false;250;350;200
80;Sine Qua Non Grenache The Line;MO Kalifornien;Sine Qua Non;2008;3;7.5;false;750;1050;820
81;Sine Qua Non Grenache Pictures;MO Kalifornien;Sine Qua Non;2007;3;7.5;false;810;1200;820
82;Syrah Seymours;MO Kalifornien;Alban Estate Vineyards;2005;3;7.5;false;330;450;280
83;Syrah Reva;MO Kalifornien;Alban Estate Vineyards;2006;3;7.5;false;660;900;640
84;Syrah Reva;MO Kalifornien;Alban Estate Vineyards;2009;6;7.5;false;600;900;0
85;Cabernet Sauvignon Farella;MO Napa Valley;Di Costanzo;2013;6;7.5;false;420;600;370
86;Grenache Les Amis;MO Barossa Valley;Torbreck;2005;1;15;true;330;400;0
87;Shiraz Attunga Skillogalee Valley;null;Kilikanoon;2010;6;7.5;true;450;540;380
88;Shiraz Crow Hurst Skillogalee Valley;null;Kilikanoon;2010;6;7.5;true;240;360;200
89;Château Musar;MO Bekaa Valley;null;2007;12;7.5;true;360;450;370
